2026-08-11 11:43:15,566 | root || INFO | 分页查询用户，第1页，每页5条
2026-08-11 11:44:18,545 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:44:18,558 | root || INFO | 注册成功 user=测试学生甲 role='学生' student_id=7
2026-08-11 11:44:18,651 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:44:18,736 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:44:18,746 | root || INFO | 修改学生 sid=7，影响1条
2026-08-11 11:44:18,844 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:44:18,930 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:44:18,939 | root || INFO | 删除学生 sid=7，影响1条
2026-08-11 11:44:19,024 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:44:19,033 | root || INFO | 删除学生账号 sid=7，影响1条
2026-08-11 11:44:19,105 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:44:19,192 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:44:19,202 | root || INFO | 新增老师，插入5条
2026-08-11 11:44:19,308 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:44:19,398 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:44:19,408 | root || INFO | 删除老师 sid=5，影响1条
2026-08-11 11:44:19,505 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:44:19,535 | root || INFO | 查询全部班级信息
2026-08-11 11:44:19,609 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:44:19,611 | root || INFO | 全部班级查询结果：5条
2026-08-11 11:44:19,707 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:44:19,802 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:44:19,809 | root || INFO | 新增课程，插入5条
2026-08-11 11:44:19,928 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:44:20,003 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:44:20,014 | root || INFO | 删除课程 sid=5，影响1条
2026-08-11 11:44:20,016 | root || INFO | 执行自定义SQL: SELECT id,name,grade FROM student LIMIT 3...
2026-08-11 11:44:20,100 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:44:20,102 | root || INFO | 自定义查询返回3条
2026-08-11 11:44:20,129 | root || INFO | 执行自定义SQL: DELETE FROM student WHERE id=1...
2026-08-11 11:49:54,421 | root || INFO | 分页查询用户，第1页，每页3条
2026-08-11 11:49:54,516 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:49:54,589 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:49:54,593 | root || INFO | 分页查询：第1/2页，3条，共6条
2026-08-11 11:49:54,678 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:49:54,751 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:50:01,036 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:50:01,127 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:50:01,170 | root || INFO | 执行自定义SQL: SELECT name, gender FROM student LIMIT 2...
2026-08-11 11:50:01,242 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:50:01,244 | root || INFO | 自定义查询返回2条
2026-08-11 11:50:01,254 | root || INFO | 执行自定义SQL: DELETE FROM student...
2026-08-11 11:50:12,965 | root || INFO | 执行自定义SQL: SELECT id, username, nickname, role, student_id, LEFT(password,12) AS pwd_prefix FROM t_user...
2026-08-11 11:50:13,058 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:50:13,069 | root || INFO | 自定义查询返回3条
2026-08-11 11:50:23,489 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:50:41,853 | root || INFO | 分页查询用户，第1页，每页2条
2026-08-11 11:50:42,112 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:50:42,368 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:50:42,379 | root || INFO | 分页查询：第1/2页，2条，共4条
2026-08-11 11:50:42,798 | root || INFO | 分页查询班级，第1页，每页2条
2026-08-11 11:50:43,088 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:50:43,169 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:50:43,171 | root || INFO | 分页查询：第1/2页，2条，共4条
2026-08-11 11:50:43,175 | root || INFO | 分页查询用户，第1页，每页2条
2026-08-11 11:50:43,282 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:50:43,383 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:50:43,385 | root || INFO | 分页查询：第1/2页，2条，共4条
2026-08-11 11:50:43,388 | root || INFO | 查询全部班级信息
2026-08-11 11:50:43,463 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:50:43,465 | root || INFO | 全部班级查询结果：4条
2026-08-11 11:50:43,467 | root || INFO | 查询全部老师列表
2026-08-11 11:50:43,550 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:50:43,552 | root || INFO | 全部老师查询结果：4条
2026-08-11 11:50:43,586 | root || INFO | 查询全部课程列表
2026-08-11 11:50:43,658 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:50:43,660 | root || INFO | 全部课程查询结果：4条
2026-08-11 11:50:53,817 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:50:53,820 | root || INFO | 多条件查询到1条
2026-08-11 11:50:54,046 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:50:54,050 | root || INFO | 多条件查询到0条
2026-08-11 11:50:54,053 | root || INFO | 分页查询用户，第1页，每页10条
2026-08-11 11:50:54,148 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:50:54,248 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:50:54,250 | root || INFO | 分页查询：第1/1页，6条，共6条
2026-08-11 11:51:04,233 | root || INFO | 查询编号为1的班级信息
2026-08-11 11:51:04,327 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:27:01,167 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:27:01,724 | root || INFO | 分页查询用户，第1页，每页200条
2026-08-11 13:27:01,948 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:27:02,197 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:27:02,203 | root || INFO | 分页查询：第1/1页，6条，共6条
2026-08-11 13:27:04,780 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:27:04,953 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:27:04,990 | root || INFO | 分页查询用户，第1页，每页1条
2026-08-11 13:27:05,211 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:27:05,431 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:27:05,437 | root || INFO | 分页查询：第1/6页，1条，共6条
2026-08-11 13:27:30,850 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:27:31,086 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:27:31,107 | root || INFO | 分页查询用户，第1页，每页1条
2026-08-11 13:27:31,332 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:27:31,576 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:27:31,581 | root || INFO | 分页查询：第1/6页，1条，共6条
2026-08-11 13:27:45,432 | root || INFO | 分页查询用户，第1页，每页10条
2026-08-11 13:27:45,673 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:27:45,902 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:27:45,906 | root || INFO | 分页查询：第1/1页，4条，共4条
2026-08-11 13:27:49,400 | root || INFO | 分页查询班级，第1页，每页10条
2026-08-11 13:27:49,626 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:27:49,859 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:27:49,861 | root || INFO | 分页查询：第1/1页，4条，共4条
2026-08-11 13:27:54,913 | root || INFO | 查询全部老师列表
2026-08-11 13:27:55,146 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:27:55,149 | root || INFO | 全部老师查询结果：4条
2026-08-11 13:27:57,901 | root || INFO | 查询全部老师列表
2026-08-11 13:27:58,127 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:27:58,132 | root || INFO | 全部老师查询结果：4条
2026-08-11 13:29:53,997 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:29:54,238 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:29:54,268 | root || INFO | 分页查询用户，第1页，每页1条
2026-08-11 13:29:54,536 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:29:54,778 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:29:54,784 | root || INFO | 分页查询：第1/6页，1条，共6条
2026-08-11 13:29:55,867 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:29:56,429 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:29:56,452 | root || INFO | 分页查询用户，第1页，每页1条
2026-08-11 13:29:56,683 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:29:56,914 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:29:56,919 | root || INFO | 分页查询：第1/6页，1条，共6条
2026-08-11 13:30:05,881 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:30:06,097 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:30:06,133 | root || INFO | 分页查询用户，第1页，每页1条
2026-08-11 13:30:06,409 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:30:06,676 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:30:06,683 | root || INFO | 分页查询：第1/6页，1条，共6条
2026-08-11 13:36:38,729 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:36:54,152 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:36:54,237 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:36:54,281 | root || INFO | 分页查询用户，第1页，每页1条
2026-08-11 13:36:54,387 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:36:54,474 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:36:54,549 | root || INFO | 分页查询：第1/6页，1条，共6条
2026-08-11 13:36:54,555 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:37:57,233 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:37:57,326 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:37:57,361 | root || INFO | 分页查询用户，第1页，每页1条
2026-08-11 13:37:57,453 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:37:57,556 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:37:57,559 | root || INFO | 分页查询：第1/6页，1条，共6条
2026-08-11 13:38:12,333 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:38:41,443 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:38:41,536 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:38:41,576 | root || INFO | 分页查询用户，第1页，每页1条
2026-08-11 13:38:41,654 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:38:41,757 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:38:41,760 | root || INFO | 分页查询：第1/6页，1条，共6条
2026-08-11 13:38:43,435 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:38:43,544 | root || INFO | 分页查询用户，第1页，每页10条
2026-08-11 13:38:43,653 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:38:43,730 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:38:43,732 | root || INFO | 分页查询：第1/1页，6条，共6条
2026-08-11 13:38:45,288 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:38:47,159 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:40:45,847 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:40:45,925 | root || INFO | 分页查询用户，第1页，每页10条
2026-08-11 13:40:46,017 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:40:46,113 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:40:46,115 | root || INFO | 分页查询：第1/1页，6条，共6条
2026-08-11 13:40:55,170 | root || INFO | 分页查询用户，第1页，每页1条
2026-08-11 13:40:55,188 | root || INFO | 分页查询用户，第1页，每页1条
2026-08-11 13:40:55,237 | root || INFO | 分页查询班级，第1页，每页1条
2026-08-11 13:40:55,406 | root || INFO | 分页查询用户，第1页，每页1条
2026-08-11 13:40:57,572 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:40:57,573 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:40:57,580 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:40:58,054 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:40:58,133 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:41:03,928 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:41:04,103 | root || INFO | 分页查询：第1/4页，1条，共4条
2026-08-11 13:41:04,211 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:41:04,424 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:41:04,470 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:41:04,522 | root || INFO | 分页查询：第1/6页，1条，共6条
2026-08-11 13:41:04,559 | root || INFO | 分页查询：第1/4页，1条，共4条
2026-08-11 13:41:04,591 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:41:04,621 | root || INFO | 分页查询：第1/4页，1条，共4条
2026-08-11 13:41:05,611 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:41:05,862 | root || INFO | 分页查询用户，第1页，每页10条
2026-08-11 13:41:06,165 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:41:06,608 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:41:06,618 | root || INFO | 分页查询：第1/1页，6条，共6条
2026-08-11 13:41:18,322 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:45:00,893 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:45:01,134 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:45:01,176 | root || INFO | 分页查询用户，第1页，每页1条
2026-08-11 13:45:01,430 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:45:02,458 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:45:02,478 | root || INFO | 分页查询：第1/6页，1条，共6条
2026-08-11 13:45:03,716 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:45:03,950 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:45:03,972 | root || INFO | 分页查询用户，第1页，每页1条
2026-08-11 13:45:04,204 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:45:04,482 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:45:04,501 | root || INFO | 分页查询：第1/6页，1条，共6条
2026-08-11 13:45:17,018 | root || INFO | 分页查询班级，第1页，每页10条
2026-08-11 13:45:17,296 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:45:17,550 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:45:17,556 | root || INFO | 分页查询：第1/1页，4条，共4条
2026-08-11 13:45:53,306 | root || INFO | 分页查询班级，第1页，每页10条
2026-08-11 13:45:53,578 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:45:53,825 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:45:53,827 | root || INFO | 分页查询：第1/1页，4条，共4条
2026-08-11 13:46:45,203 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:46:45,434 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:46:45,693 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:46:45,715 | root || INFO | 注册成功 user=tyil role=学生 student_id=8
2026-08-11 13:46:59,087 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:46:59,341 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:47:39,321 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:47:39,546 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:48:01,764 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:48:02,542 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:48:02,793 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:48:02,820 | root || INFO | 分页查询用户，第1页，每页1条
2026-08-11 13:48:03,044 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:48:03,280 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:48:03,283 | root || INFO | 分页查询：第1/7页，1条，共7条
2026-08-11 13:49:02,807 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:49:02,992 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:49:03,012 | root || INFO | 分页查询用户，第1页，每页1条
2026-08-11 13:49:03,241 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:49:03,483 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:49:03,489 | root || INFO | 分页查询：第1/7页，1条，共7条
2026-08-11 13:49:14,282 | root || INFO | 分页查询用户，第1页，每页10条
2026-08-11 13:49:14,503 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:49:14,717 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:49:14,723 | root || INFO | 分页查询：第1/1页，7条，共7条
2026-08-11 13:49:25,989 | root || INFO | 分页查询用户，第1页，每页10条
2026-08-11 13:49:26,202 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:49:26,441 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:49:26,448 | root || INFO | 分页查询：第1/1页，7条，共7条
2026-08-11 13:49:39,870 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:49:40,096 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:49:40,113 | root || INFO | 删除学生 sid=8，影响1条
2026-08-11 13:49:40,346 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:49:40,363 | root || INFO | 删除学生账号 sid=8，影响1条
2026-08-11 13:49:40,370 | root || INFO | 分页查询用户，第1页，每页10条
2026-08-11 13:49:40,595 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:49:40,859 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:49:40,864 | root || INFO | 分页查询：第1/1页，6条，共6条
2026-08-11 13:49:44,890 | root || INFO | 分页查询用户，第1页，每页10条
2026-08-11 13:49:45,109 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:49:45,306 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:49:45,313 | root || INFO | 分页查询：第1/1页，6条，共6条
2026-08-11 13:50:17,380 | root || INFO | 分页查询用户，第1页，每页10条
2026-08-11 13:50:17,628 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:50:17,854 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:50:17,857 | root || INFO | 分页查询：第1/1页，6条，共6条
2026-08-11 13:51:48,074 | root || INFO | 分页查询用户，第1页，每页10条
2026-08-11 13:51:48,292 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:51:48,508 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:51:48,512 | root || INFO | 分页查询：第1/1页，6条，共6条
2026-08-11 13:51:54,943 | root || INFO | 分页查询用户，第1页，每页10条
2026-08-11 13:51:55,183 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:51:55,442 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:51:55,447 | root || INFO | 分页查询：第1/1页，6条，共6条
2026-08-11 13:52:11,825 | root || INFO | 分页查询用户，第1页，每页10条
2026-08-11 13:52:12,073 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:52:12,309 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:52:12,315 | root || INFO | 分页查询：第1/1页，4条，共4条
2026-08-11 13:52:14,276 | root || INFO | 分页查询用户，第1页，每页10条
2026-08-11 13:52:14,496 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:52:14,724 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:52:14,729 | root || INFO | 分页查询：第1/1页，4条，共4条
2026-08-11 13:52:17,907 | root || INFO | 分页查询用户，第1页，每页10条
2026-08-11 13:52:18,164 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:52:18,387 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:52:18,392 | root || INFO | 分页查询：第1/1页，4条，共4条
2026-08-11 13:52:18,929 | root || INFO | 分页查询班级，第1页，每页10条
2026-08-11 13:52:19,165 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:52:19,404 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:52:19,410 | root || INFO | 分页查询：第1/1页，4条，共4条
2026-08-11 13:52:22,166 | root || INFO | 查询全部老师列表
2026-08-11 13:52:22,404 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:52:22,407 | root || INFO | 全部老师查询结果：4条
2026-08-11 13:52:38,337 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:52:38,985 | root || INFO | 分页查询班级，第1页，每页10条
2026-08-11 13:52:39,228 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:52:39,452 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:52:39,457 | root || INFO | 分页查询：第1/1页，5条，共5条
2026-08-11 13:52:41,325 | root || INFO | 查询全部老师列表
2026-08-11 13:52:41,556 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:52:41,560 | root || INFO | 全部老师查询结果：4条
2026-08-11 13:53:31,014 | root || INFO | 查询全部老师列表
2026-08-11 13:53:31,254 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:53:31,260 | root || INFO | 全部老师查询结果：4条
2026-08-11 13:53:32,939 | root || INFO | 分页查询班级，第1页，每页10条
2026-08-11 13:53:33,192 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:53:33,419 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:53:33,421 | root || INFO | 分页查询：第1/1页，5条，共5条
2026-08-11 13:56:54,606 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:56:55,439 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:56:55,603 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:56:55,641 | root || INFO | 分页查询用户，第1页，每页1条
2026-08-11 13:56:55,879 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:56:56,125 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:56:56,131 | root || INFO | 分页查询：第1/6页，1条，共6条
2026-08-11 13:59:56,628 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:59:56,863 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:59:56,903 | root || INFO | 分页查询用户，第1页，每页1条
2026-08-11 13:59:57,150 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:59:57,388 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 13:59:57,395 | root || INFO | 分页查询：第1/6页，1条，共6条
2026-08-11 14:00:24,593 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 14:00:25,400 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 14:00:25,660 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 14:00:25,681 | root || INFO | 分页查询用户，第1页，每页1条
2026-08-11 14:00:25,896 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 14:00:26,147 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 14:00:26,152 | root || INFO | 分页查询：第1/6页，1条，共6条
2026-08-11 14:00:33,451 | root || INFO | 分页查询用户，第1页，每页10条
2026-08-11 14:00:33,696 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 14:00:33,954 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 14:00:33,960 | root || INFO | 分页查询：第1/1页，6条，共6条
2026-08-11 14:00:35,835 | root || INFO | 分页查询用户，第1页，每页10条
2026-08-11 14:00:36,076 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 14:00:36,344 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 14:00:36,348 | root || INFO | 分页查询：第1/1页，6条，共6条
2026-08-11 14:00:38,496 | root || INFO | 分页查询用户，第1页，每页10条
2026-08-11 14:00:38,730 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 14:00:38,952 | root || INFO | mysql数据库连接成功 host=localhost
